id,symbol,category,name,rare
128049152,Platinum,Metals,Platinum,0
128049153,Palladium,Metals,Palladium,0
128049154,Gold,Metals,Gold,0
128049155,Silver,Metals,Silver,0
128049156,Bertrandite,Minerals,Bertrandite,0
128049157,Indite,Minerals,Indite,0
128049158,Gallite,Minerals,Gallite,0
128049159,Coltan,Minerals,Coltan,0
128049160,Uraninite,Minerals,Uraninite,0
128049161,Lepidolite,Minerals,Lepidolite,0
128049162,Cobalt,Metals,Cobalt,0
128049163,Rutile,Minerals,Rutile,0
128049165,Bauxite,Minerals,Bauxite,0
128049166,Water,Chemicals,Water,0
128049168,Beryllium,Metals,Beryllium,0
128049169,Indium,Metals,Indium,0
128049170,Gallium,Metals,Gallium,0
128049171,Tantalum,Metals,Tantalum,0
128049172,Uranium,Metals,Uranium,0
128049173,Lithium,Metals,Lithium,0
128049174,Titanium,Metals,Titanium,0
128049175,Copper,Metals,Copper,0
128049176,Aluminium,Metals,Aluminium,0
128049177,Algae,Foods,Algae,0
128049178,FruitAndVegetables,Foods,Fruit and Vegetables,0
128049180,Grain,Foods,Grain,0
128049182,Animalmeat,Foods,Animal Meat,0
128049183,Fish,Foods,Fish,0
128049184,FoodCartridges,Foods,Food Cartridges,0
128049185,SyntheticMeat,Foods,Synthetic Meat,0
128049188,Tea,Foods,Tea,0
128049189,Coffee,Foods,Coffee,0
128049190,Leather,Textiles,Leather,0
128049191,NaturalFabrics,Textiles,Natural Fabrics,0
128049193,SyntheticFabrics,Textiles,Synthetic Fabrics,0
128049197,Polymers,Industrial Materials,Polymers,0
128049199,Semiconductors,Industrial Materials,Semiconductors,0
128049200,Superconductors,Industrial Materials,Superconductors,0
128049202,HydrogenFuel,Chemicals,Hydrogen Fuel,0
128049203,MineralOil,Chemicals,Mineral Oil,0
128049204,Explosives,Chemicals,Explosives,0
128049205,Pesticides,Chemicals,Pesticides,0
128049208,AgriculturalMedicines,Medicines,Agri-Medicines,0
128049209,PerformanceEnhancers,Medicines,Performance Enhancers,0
128049210,BasicMedicines,Medicines,Basic Medicines,0
128049212,BasicNarcotics,Legal Drugs,Narcotics,0
128049213,Tobacco,Legal Drugs,Tobacco,0
128049214,Beer,Legal Drugs,Beer,0
128049215,Wine,Legal Drugs,Wine,0
128049216,Liquor,Legal Drugs,Liquor,0
128049217,PowerGenerators,Machinery,Power Generators,0
128049218,WaterPurifiers,Machinery,Water Purifiers,0
128049220,HeliostaticFurnaces,Machinery,Microbial Furnaces,0
128049221,MineralExtractors,Machinery,Mineral Extractors,0
128049222,CropHarvesters,Machinery,Crop Harvesters,0
128049223,MarineSupplies,Machinery,Marine Equipment,0
128049225,ComputerComponents,Technology,Computer Components,0
128049226,HazardousEnvironmentSuits,Technology,H.E. Suits,0
128049227,Robotics,Technology,Robotics,0
128049228,AutoFabricators,Technology,Auto-Fabricators,0
128049229,AnimalMonitors,Technology,Animal Monitors,0
128049230,AquaponicSystems,Technology,Aquaponic Systems,0
128049231,AdvancedCatalysers,Technology,Advanced Catalysers,0
128049232,TerrainEnrichmentSystems,Technology,Land Enrichment Systems,0
128049233,PersonalWeapons,Weapons,Personal Weapons,0
128049234,BattleWeapons,Weapons,Battle Weapons,0
128049235,ReactiveArmour,Weapons,Reactive Armour,0
128049236,NonLethalWeapons,Weapons,Non-Lethal Weapons,0
128049238,DomesticAppliances,Consumer Items,Domestic Appliances,0
128049240,ConsumerTechnology,Consumer Items,Consumer Technology,0
128049241,Clothing,Consumer Items,Clothing,0
128049243,Slaves,Slavery,Slaves,0
128049244,Biowaste,Waste,Biowaste,0
128049245,ToxicWaste,Waste,Toxic Waste,0
128049246,ChemicalWaste,Waste,Chemical Waste,0
128049248,Scrap,Waste,Scrap,0
128049669,ProgenitorCells,Medicines,Progenitor Cells,0
128049670,CombatStabilisers,Medicines,Combat Stabilisers,0
128049671,ResonatingSeparators,Technology,Resonating Separators,0
128049672,BioReducingLichen,Technology,Bioreducing Lichen,0
128064028,AtmosphericExtractors,Machinery,Atmospheric Processors,0
128066403,Drones,NonMarketable,Limpets,0
128666746,EraninPearlWhisky,Legal Drugs,Eranin Pearl Whisky,1
128666747,LavianBrandy,Legal Drugs,Lavian Brandy,1
128666752,USSCargoBlackBox,Salvage,Black Box,0
128666754,USSCargoTradeData,Salvage,Trade Data,0
128666755,USSCargoMilitaryPlans,Salvage,Military Plans,0
128666756,USSCargoAncientArtefact,Salvage,Ancient Artefact,0
128666757,USSCargoRareArtwork,Salvage,Rare Artwork,0
128666758,USSCargoExperimentalChemicals,Salvage,Experimental Chemicals,0
128666759,USSCargoRebelTransmissions,Salvage,Rebel Transmissions,0
128666760,USSCargoPrototypeTech,Salvage,Prototype Tech,0
128666761,USSCargoTechnicalBlueprints,Salvage,Technical Blueprints,0
128667019,HIP10175BushMeat,Foods,HIP 10175 Bush Meat,1
128667020,AlbinoQuechuaMammoth,Foods,Albino Quechua Mammoth Meat,1
128667021,UtgaroarMillenialEggs,Foods,Utgaroar Millennial Eggs,1
128667022,WitchhaulKobeBeef,Foods,Witchhaul Kobe Beef,1
128667023,KarsukiLocusts,Foods,Karsuki Locusts,1
128667024,GiantIrukamaSnails,Foods,Giant Irukama Snails,1
128667025,BaltahSineVacuumKrill,Foods,Baltah'sine Vacuum Krill,1
128667026,CetiRabbits,Foods,Ceti Rabbits,1
128667027,KachiriginLeaches,Medicines,Kachirigin Filter Leeches,1
128667028,LyraeWeed,Legal Drugs,Lyrae Weed,1
128667029,OnionHead,Legal Drugs,Onionhead,1
128667030,TarachTorSpice,Legal Drugs,Tarach Spice,1
128667031,Wolf1301Fesh,Legal Drugs,Wolf Fesh,1
128667032,BorasetaniPathogenetics,Weapons,Borasetani Pathogenetics,1
128667033,HIP118311Swarm,Weapons,HIP 118311 Swarm,1
128667034,KonggaAle,Legal Drugs,Kongga Ale,1
128667035,WuthieloKuFroth,Legal Drugs,Wuthielo Ku Froth,1
128667036,AlacarakmoSkinArt,Consumer Items,Alacarakmo Skin Art,1
128667037,EleuThermals,Consumer Items,Eleu Thermals,1
